"id","prediccion"
NA,5.08302709818775e-13
3927251,4.01082752432558e-06
3927201,0.774587094783783
3925501,0.092006728053093
NA,5.08302709818775e-13
3924551,0.999655723571777
3924301,0.092006728053093
3924151,0.997368693351746
3923901,2.84775694581185e-07
3923101,0.774587094783783
3922701,1.78102595782548e-07
NA,5.08302709818775e-13
3921551,0.997368693351746
3921301,7.09403047949309e-06
3920751,7.73323349800847e-10
3920201,0.000354307441739365
NA,5.08302709818775e-13
NA,5.08302709818775e-13
3919351,2.29523521966257e-07
3918651,0.774587094783783
3918051,0.774587094783783
3917201,0.010506784543395
3916551,0.985662043094635
3916951,4.83746004950429e-14
3916051,1.89685738405387e-06
3914951,0.00280995550565422
3914701,0.774587094783783
3914251,9.17800061870366e-05
3913801,0.092006728053093
3913351,0.774587094783783
3913401,0.774587094783783
NA,5.08302709818775e-13
3913001,0.092006728053093
NA,5.08302709818775e-13
3902251,0.0297321565449238
3910301,0.774587094783783
3909701,0.000116599469038192
3908301,5.21221503457792e-11
NA,5.08302709818775e-13
NA,5.08302709818775e-13
3906901,0.000201256363652647
3906401,0.00017894638585858
3905601,1.17356439659488e-05
3904801,5.40618114511227e-13
3903901,6.0997099353699e-05
3904151,3.21864849226264e-13
3671701,1.42230636990259e-11
3903301,3.36066875661345e-07
NA,5.08302709818775e-13
3900001,2.13882049138192e-06
3901451,0.000883715460076928
3901301,1.27812636776387e-12
3899701,0.00404277490451932
NA,5.08302709818775e-13
NA,5.08302709818775e-13
3898201,7.03803660316582e-13
3897701,0.092006728053093
3897401,1.00529945257222e-07
3896301,0.000732874847017229
3896451,0.351527631282806
3896601,3.64126923058095e-10
3896551,1.21389887031143e-09
3895951,0.774587094783783
3895701,3.89280415902249e-07
3893951,0.092006728053093
3893101,0.000539030646905303
3893001,0.774587094783783
3891701,0.0711984038352966
3891501,0.0675585269927979
NA,5.08302709818775e-13
3890101,3.98161591874668e-06
NA,5.08302709818775e-13
NA,5.08302709818775e-13
NA,5.08302709818775e-13
3886251,1.33823516534903e-06
NA,5.08302709818775e-13
NA,5.08302709818775e-13
3884601,0.1527930945158
3883901,1.84595353402983e-06
